ip_split1,ip_split2,ip_split3,ip_split4
4,7,28,122
4,7,28,206
4,7,29,146
4,7,29,162
4,7,30,54
4,7,98,234
4,7,99,14
4,7,100,14
4,7,101,226
4,7,101,218
4,7,102,186
4,7,102,110
4,7,103,170
4,7,103,178
4,7,103,202
4,14,42,162
4,14,42,126
4,14,185,141
4,14,185,238
4,14,185,42
4,14,186,50
4,14,188,98
4,14,188,218
4,14,188,198
4,14,190,106
4,15,164,142
4,15,165,226
4,15,243,18
4,16,26,206
4,16,30,138
4,34,87,2
4,35,157,180
4,59,63,166
4,71,137,160
4,71,142,226
4,78,206,138
8,3,29,5
8,37,123,146
12,0,208,175
12,3,237,154
12,7,54,186
12,9,16,66
12,9,27,146
12,9,158,58
12,10,44,98
12,10,207,66
12,13,89,130
12,15,108,66
12,20,168,98
12,22,194,18
12,23,12,51
12,25,174,162
12,29,13,82
12,33,232,36
12,35,25,180
12,35,31,98
12,35,240,34
12,38,41,66
12,38,41,162
12,38,141,131
12,45,179,51
12,50,40,42
12,52,231,187
12,96,122,34
12,104,168,10
12,129,246,4
12,133,93,82
12,133,94,170
12,145,98,24
12,145,98,25
12,145,98,253
12,150,74,98
12,150,79,90
12,155,141,205
12,156,140,242
12,159,98,150
12,162,79,198
12,163,133,27
12,168,211,162
12,174,234,186
12,174,234,230
12,176,127,130
12,178,22,34
12,186,47,114
12,187,35,218
12,187,185,250
12,189,55,186
12,189,90,162
12,192,28,178
12,197,207,174
12,197,207,163
12,198,230,10
12,201,224,18
12,201,225,66
12,201,242,106
12,208,246,66
12,219,251,82
12,222,115,146
12,226,85,2
12,235,30,2
12,245,214,218
12,246,23,46
12,246,83,110
12,247,219,38
23,19,11,210
23,19,26,60
23,19,26,61
23,19,26,58
23,104,12,68
23,112,120,41
23,112,120,242
23,112,121,52
23,112,121,140
23,112,121,149
23,113,196,100
23,113,196,148
23,113,196,159
23,113,197,185
23,113,197,220
23,113,198,93
23,113,199,116
23,113,199,180
23,114,69,65
23,114,170,204
23,114,170,89
23,114,170,107
23,114,170,206
23,115,122,49
23,117,145,55
